epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.273,1.69355,2.63977,1.36669,0.01318,0.59883,0.2402,0.15019,1.25358,3.12254,1.07875,0.000465256,0.000465256,0.000465256
2,489.556,1.36521,1.46246,1.09989,0.87756,0.25857,0.34776,0.20075,1.33672,2.07848,1.10663,0.000922946,0.000922946,0.000922946
3,736.785,1.27961,1.23593,1.07652,0.45554,0.44168,0.4625,0.27353,1.22488,1.48411,1.09351,0.00136177,0.00136177,0.00136177
